MS:1000894_[sec]	MS:1000040	MS:1000041	S/N	peak_count
243.8367	553.46728515625	2	2.40175	52
253.38760000002	604.049743652344	2	2.03334	19
254.43169999998	492.059875488281	2	2.13684	43
256.4832	700.063293457031	2	1.43612	30
258.16870000002	500.049133300781	2	1.81351	26
259.12519999998	508.035827636719	2	1.46076	25
260.96719999998	684.087951660156	2	8.76766	73
264.78010000002	588.075012207031	2	1.49739	22
268.30999999998	796.078491210938	2	1.2525	18
271.54759999998	692.078247070313	2	1.62896	29
272.73250000002	892.092407226563	2	1.25546	22
275.1792	604.049438476563	2	1.32876	34
276.21940000002	492.059143066406	2	1.94416	35
278.33140000002	700.063659667969	2	2.88049	23
280.20499999998	500.049774169922	2	1.27527	24
281.19520000002	508.035858154297	2	1.34199	32
282.8967	684.088989257813	2	8.62543	68
286.083	588.075500488281	2	1.20164	15
291.21970000002	527.009582519531	2	4.18547	38
320.56969999998	500.050048828125	2	1.85697	44
341.46019999998	692.077392578125	2	1.27786	22
344.1117	711.048522949219	2	1.3182	21
357.7041	508.036743164063	2	1.47694	25
364.36069999998	692.078857421875	2	1.24804	34
373.06480000002	527.010681152344	2	5.33191	35
376.7325	500.050018310547	2	3.49019	19
388.23349999998	508.037048339844	2	1.22676	28
409.45189999998	604.051147460938	2	1.69689	26
427.08040000002	596.065368652344	2	3.40723	31
429.4953	508.03759765625	2	1.69939	19
440.57179999998	527.010314941406	2	5.25481	34
451.68610000002	596.064514160156	2	3.13015	27
471.888	500.050476074219	2	1.23985	23
483.2541	638.998901367188	2	3.21675	43
500.7225	527.010498046875	2	3.95037	48
526.8717	553.467529296875	2	3.65726	56
540.65590000002	604.052307128906	2	1.54639	25
581.56330000002	553.465637207031	2	3.18715	66
601.21090000002	500.050384521484	2	1.48968	22
609.75199999998	508.035888671875	2	2.25862	27
681.26110000002	604.052062988281	2	1.12902	17
688.2321	508.036499023438	2	1.69371	15
692.68099999998	588.07421875	2	1.46896	16
697.1214	623.026916503906	2	4.77075	49
703.2201	588.0771484375	2	1.22041	20
707.7843	700.065368652344	2	1.33335	30
710.52730000002	500.050415039063	2	3.38764	36
711.76930000002	604.051208496094	2	1.19488	23
713.1477	508.036804199219	2	1.25196	14
715.0446	796.077209472656	2	1.22104	26
729.01930000002	596.065795898438	2	1.19793	20
744.1887	527.01025390625	2	4.34101	42
769.98820000002	500.050323486328	2	3.77345	31
886.38910000002	553.467529296875	2	4.43134	53
932.598	527.010681152344	2	2.28163	43
1358.88730000002	521.281555175781	3	13.5711	433
1380.39190000002	521.281066894531	3	13.5308	380
1490.76400000002	455.230895996094	2	5.78524	184
1508.97889999998	527.257751464844	2	6.51898	260
1532.61259999998	527.258239746094	2	6.94118	293
1633.92949999998	413.904357910156	3	11.8539	320
1653.1098	508.778076171875	2	8.48965	183
1668.03829999998	508.773986816406	2	8.90357	226
1689.2907	589.319030761719	3	12.8302	462
1696.46920000002	442.239593505859	4	15.1983	360
1707.61729999998	541.640258789063	3	11.5967	280
1721.83300000002	508.77490234375	2	9.10975	270
1742.89840000002	508.773132324219	2	8.94681	242
1782.9771	597.333557128906	3	14.5676	396
1790.53579999998	454.243225097656	3	11.4766	390
1831.27030000002	479.614532470703	3	11.9783	299
1852.77910000002	479.6142578125	3	11.1229	250
1879.73659999998	486.300445556641	4	13.6108	329
1924.8291	528.031433105469	2	4.39453	222
2028.32299999998	562.248596191406	3	9.50062	282
2102.84659999998	433.903533935547	3	11.6723	419
2123.35360000002	433.904205322266	3	11.8096	411
2144.1891	433.904022216797	3	12.0075	407
2149.45579999998	427.269744873047	2	25.1652	142
2169.6684	427.269958496094	2	24.506	149
2183.73109999998	654.307495117188	2	12.008	311
2204.29189999998	654.307434082031	2	11.492	248
2224.50469999998	479.498748779297	4	11.8866	389
